osm_id,osm_type,health_facility_type,access,toilets_disposal,staff_count_doctors,operator,toilets_handwashing,status,name,health_facility_level,opening_hours,operator_type,medical_system_western,staff_count_nurses,health_facility_bed,amenity,longitude,latitude,geom_type
7039167451,nodes,,,,,,,,Clinique Médicale 819,,,,,,,doctors,-75.6875197,45.4911311,POINT
6196830193,nodes,,,,,,,,Woodroffe Pharmacy,,,,,,,pharmacy,-75.7501186,45.3313315,POINT
10098614567,nodes,,,,,,,,Focus Eye Centre,,,,,,,clinic,-75.7251804,45.3901502,POINT
5950393377,nodes,,,,,,,,Dr. D. Nahon,,,,,,,clinic,-75.7791943,45.324309,POINT
5950393375,nodes,,,,,,,,C. Alan Shoemaker,,,,,,,doctors,-75.7791015,45.3243435,POINT
5950393380,nodes,,,,,,,,Dr. M. Deutsch,,,,,,,doctors,-75.7793207,45.3242654,POINT
5897278883,nodes,,,,,,,,Filosofi Laser & Massage Clinic,,,,,,,clinic,-75.7624336,45.3428641,POINT
5897281203,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-75.7626524,45.3429812,POINT
6515775614,nodes,,,,,,,,Concept Medical,,,,,,,doctors,-75.7334872,45.4030264,POINT
2141421769,nodes,,,,,,,,Westboro Medical Clinic,,,,,,,clinic,-75.7482581,45.3941704,POINT
5553596546,nodes,,,,,,,,Ottawa Chiropractic and Sports Injury Clinic,,,,,,,clinic,-75.7379807,45.3985622,POINT
10045162185,nodes,,,,,,,,Dr Garrerr DE Jong,,,,,,,doctors,-75.7308259,45.4013686,POINT
5538177524,nodes,,,,,,,,Hampton Park Dental Centre,,,,,,,dentist,-75.7398223,45.3862769,POINT
6028681098,nodes,,,,,,,,Bowen Therapy,,,,,,,clinic,-75.7547249,45.3927789,POINT
6028681099,nodes,,,,,,,,Dr. Larry Cebulski & Dr. A. Moustgaard,,,,,,,clinic,-75.7546538,45.3928043,POINT
6028681093,nodes,,,,,,,,Hayles Foot & Ankle Clinic,,,,,,,clinic,-75.755119,45.3939406,POINT
10713384725,nodes,,,,,,,,Pharmasave,,,,,,,pharmacy,-75.6080366,45.418274,POINT
7341652359,nodes,,,,,,,,Smyth Medical Pharmacy,,,,,,,pharmacy,-75.6249306,45.4015388,POINT
5731353227,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-75.7996157,45.3350191,POINT
6018494622,nodes,,,,,,,,,,,,,,,doctors,-75.7994682,45.3347321,POINT
7341652360,nodes,,,,,,,,Medical Pharmacy,,,,,,,pharmacy,-75.6246334,45.4174323,POINT
5774045551,nodes,,,,,,,,Bayshore Dental Centre,,,,,,,dentist,-75.805939,45.3551027,POINT
6816042892,nodes,,,,,,,,March Dental,,,,,,,dentist,-75.9485619,45.3685185,POINT
5720669288,nodes,,,,,,,,Back in Balance,,,,,,,clinic,-75.7577826,45.389678,POINT
5874665732,nodes,,,,,,,,Dr. Rick McCendie/Dr. Francine Chappus,,,,,,,doctors,-75.7564217,45.3905482,POINT
5874665736,nodes,,,,,,,,Ottawa Institute of Cognitive Behaviour Therapy,,,,,,,clinic,-75.7564931,45.3905383,POINT
6135930948,nodes,,,,,,,,Craig Henry Dental,,,,,,,dentist,-75.7701248,45.3320334,POINT
5959563719,nodes,,,,,,,,CSC Estrie,,,,,,,clinic,-75.2491111,45.326234,POINT
5959563721,nodes,,,,,,,,Nation Health Centre,,,,,,,doctors,-75.2491647,45.3263688,POINT
5959563723,nodes,,,,,,,,Limoges Dentist,,,,,,,dentist,-75.2493444,45.3263349,POINT
5959563722,nodes,,,,,,,,Guardian,,,,,,,pharmacy,-75.2492841,45.3262434,POINT
5799951479,nodes,,,,,,,,Counselling and Psychotherapy Centre,,,,,,,clinic,-75.6752618,45.4074555,POINT
5731473482,nodes,,,,,,,,Hazeldean Medical Clinic,,,,,,,doctors,-75.8830002,45.3005523,POINT
5910789890,nodes,,,,,,,,Laserderm,,,,,,,clinic,-75.7458674,45.379973,POINT
5802745468,nodes,,,,,,,,Ottawa West Orthodontics,,,,,,,dentist,-75.7544956,45.3768473,POINT
5802745476,nodes,,,,,,,,Dr. Frank Lee,,,,,,,dentist,-75.7529305,45.3781591,POINT
5842916928,nodes,,,,,,,,CBI Health Centre,,,,,,,clinic,-75.7673487,45.348757,POINT
5526711398,nodes,,,,,,,,Appletree Medical Clinic,,,,,,,doctors,-75.7331402,45.3538024,POINT
6181547523,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-75.6902357,45.3719322,POINT
6052821134,nodes,,,,,,,,Stradwick Psychology & Neurofeedback Clinic,,,,,,,clinic,-75.7086392,45.3441597,POINT
6052821135,nodes,,,,,,,,Woelke Occupational Therapy and Neurofeedback,,,,,,,clinic,-75.7088752,45.3442898,POINT
6147801849,nodes,,,,,,,,The Whitestone Clinic,,,,,,,clinic,-75.7053629,45.3315398,POINT
6135912201,nodes,,,,,,,,Dr. Peter Derham,,,,,,,dentist,-75.7658457,45.3460602,POINT
6135912197,nodes,,,,,,,,Centrepointe Orthodontics,,,,,,,dentist,-75.7659255,45.3461285,POINT
6135912196,nodes,,,,,,,,Dr. Tarta Mihaela,,,,,,,dentist,-75.7660676,45.3461907,POINT
6152364106,nodes,,,,,,,,Dr. Allan Murray & Dr. Peter Edmison,,,,,,,dentist,-75.7682392,45.3697382,POINT
5820645502,nodes,,,,,,,,Pharmasave,,,,,,,pharmacy,-75.7711738,45.3705224,POINT
5820645501,nodes,,,,,,,,Appletree Medical Clinic,,,,,,,doctors,-75.771244,45.3705089,POINT
5912940528,nodes,,,,,,,,The Dental Health Practice,,,,,,,dentist,-75.7333866,45.3490318,POINT
5912940529,nodes,,,,,,,,Crestview Family Chiropractic,,,,,,,doctors,-75.7333001,45.3490393,POINT
6032500285,nodes,,,,,,,,Kanata North Medical Centre,,,,,,,doctors,-75.9334981,45.3565723,POINT
5807496516,nodes,,,,,,,,Legget Drive Dental,,Mo-Th 08:00-17:00,,,,,dentist,-75.9199602,45.349088,POINT
5672984192,nodes,,,,,,,,Whitehaven Pharmacy,,,,,,,pharmacy,-75.7745551,45.368812,POINT
6195902013,nodes,,,,,,,,Argyle Associates,,,,,,,dentist,-75.7747624,45.3689338,POINT
6591656114,nodes,,,,,,,,Nutrichem,,,,,,,pharmacy,-75.7880934,45.362801,POINT
6147949547,nodes,,,,,,,,Ottawa South Dental Clinic,,,,,,,dentist,-75.7019994,45.330449,POINT
6053123288,nodes,,,,,,,,Superclinique Médigo,,Mo-Su 08:00-20:00,,,,,clinic,-75.7505617,45.4460005,POINT
6067433317,nodes,,,,,,,,Centre d'ophtalmologie,,,,,,,clinic,-75.7555872,45.4497345,POINT
5298589078,nodes,,,,,,,,Uniprix,,,,,,,pharmacy,-75.7553116,45.4497599,POINT
6067433319,nodes,,,,,,,,Dr. Louis Vachon,,,,,,,doctors,-75.7553203,45.4496338,POINT
6200081789,nodes,,,,,,,,Monarch Centre,,,,,,,clinic,-75.7274439,45.3294417,POINT
5835480944,nodes,,,,,,,,The Ottawa Clinic,,,,,,,clinic,-75.7094157,45.4023305,POINT
5724495148,nodes,,,,,,,,HealthMed Pharmacy,,,,,,,pharmacy,-75.7333195,45.3684974,POINT
7341566265,nodes,,,,,,,,Drugstore Pharmacy,,,,,,,pharmacy,-75.866882,45.2824788,POINT
5741697427,nodes,,,,,,,,Crossroads Children's Centre,,,,,,,clinic,-75.7499036,45.3712626,POINT
6319258015,nodes,,,,,,,,My Smile Dental,,,,,,,dentist,-75.9182444,45.348397,POINT
5861176998,nodes,,,,,,,,Dr. Valerie Archibald Family Dentistry,,,,,,,dentist,-75.7389455,45.358318,POINT
5846881051,nodes,,,,,,,,Dr. Kersta Peterson,,,,,,,dentist,-75.9011614,45.328726,POINT
6392265066,nodes,,,,,,,,Smile Shapers Ottawa,,,,,,,dentist,-75.7390004,45.363398,POINT
6392265068,nodes,,,,,,,,The Clinic at Walmart,,,,,,,clinic,-75.7386303,45.3633292,POINT
5085980321,nodes,,,,,,,,Merivale Cardiovascular Consultants,,,,,,,clinic,-75.7398262,45.3601022,POINT
5699786532,nodes,,,,,,,,Merivale Medical Imaging,,,,,,,clinic,-75.7396871,45.3599068,POINT
5861177011,nodes,,,,,,,,The Teal Umbrella,,,,,,,dentist,-75.7345359,45.3510459,POINT
5861177009,nodes,,,,,,,,Dr. Kevin Ratray Dentistry,,,,,,,dentist,-75.7343951,45.351076,POINT
2037688840,nodes,,,,,,,,Family Dental Care,,,,,,,dentist,-75.6207239,45.3697737,POINT
5804291870,nodes,,,,,,,,Rahal Hair Transplant,,,,,,,clinic,-75.7131681,45.3182104,POINT
5804291871,nodes,,,,,,,,Robertson Therapy & Counselling,,,,,,,clinic,-75.7133143,45.3183848,POINT
5764321685,nodes,,,,,,,,Conroy Optometric Clinic,,,,,,,clinic,-75.6193364,45.3854372,POINT
5764321688,nodes,,,,,,,,Apollo Physical Therapy Centre,,,,,,,clinic,-75.6188603,45.3848871,POINT
5732694677,nodes,,,,,,,,Dr M. Brunet,,,,,,,dentist,-75.6489439,45.3531885,POINT
3130555239,nodes,,,,,,,,Towngate Medical Centre,,,,,,,doctors,-75.6474152,45.3528977,POINT
5739855501,nodes,,,,,,,,Nepean Sports Medicine & Physiotherapy Centre,,,,,,,clinic,-75.7461416,45.3266522,POINT
6141609768,nodes,,,,,,,,Ottawa South Midwives,,,,,,,doctors,-75.6221835,45.3167817,POINT
6591731276,nodes,,,,,,,,Dr. Grace Lee,,,,,,,dentist,-75.6465472,45.3640243,POINT
6114249004,nodes,,,,,,,,Sound Care Medical Centre,,,,,,,clinic,-75.6525475,45.3518201,POINT
6152753718,nodes,,,,,,,,O’Connor Dental,,,,,,,dentist,-75.7003029,45.4205517,POINT
5941722850,nodes,,,,,,,,Morgentaler Clinic,,,,,,,clinic,-75.7009557,45.4209974,POINT
6761587394,nodes,,,,,,,,Sparks Dental Clinic,,,,,,,dentist,-75.7016477,45.4206858,POINT
778695500,nodes,,,,,,,,Kent Dental Clinic,,,,,,,dentist,-75.7016708,45.4173163,POINT
775320067,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-75.6904022,45.4177036,POINT
5868793711,nodes,,,,,,,,Heart of Ottawa Health Centre,,,,,,,doctors,-75.6903109,45.417576,POINT
5868722846,nodes,,,,,,,,Donna Anderson Osteopathy,,,,,,,clinic,-75.6904799,45.4175305,POINT
6719063213,nodes,,,,,,,,Permasmile Dentistry @ Slater,,,,,,,dentist,-75.7012577,45.4185345,POINT
5825966865,nodes,,,,,,,,Centretown Pharmacy,,,,,,,pharmacy,-75.6955909,45.414221,POINT
7747294182,nodes,,,,,,,,Sedation Dental Group,,,,,,,dentist,-75.6977593,45.4142399,POINT
6094106080,nodes,,,,,,,,Advanced Hearing Institute,,,,,,,clinic,-75.6911076,45.4151761,POINT
9725477975,nodes,,,,,,,,Flora Medical Pharmacy,,,,,,,pharmacy,-75.6928557,45.4105273,POINT
5866608703,nodes,,,,,,,,GumDocs,,,,,,,dentist,-75.6927907,45.4088848,POINT
5866608690,nodes,,,,,,,,Back to Health Wellness Centre,,,,,,,clinic,-75.6925392,45.4091432,POINT
10927007504,nodes,,,,,,,,Villanova Dental Centre,,,,,,,dentist,-75.9336773,45.3122746,POINT
5853895311,nodes,,,,,,,,West Dental,,,,,,,dentist,-75.9212995,45.3093283,POINT
7610877945,nodes,,,,,,,,CHEO Clinic,,,,,,,clinic,-75.6134261,45.4468517,POINT
6093976575,nodes,,,,,,,,Dr Hicks J Allen,,,,,,,dentist,-75.693142,45.4159937,POINT
6094106081,nodes,,,,,,,,Dr. David Jordan,,,,,,,doctors,-75.6925996,45.4144827,POINT
5903073863,nodes,,,,,,,,McArthur Family Medical Centre,,,,,,,doctors,-75.6557554,45.4387291,POINT
5667233874,nodes,,,,,,,,PharmaChoice,,,,,,,pharmacy,-75.6556776,45.4386221,POINT
5951913567,nodes,,,,,,,,Florence Dentistry,,,,,,,dentist,-75.6943236,45.4125594,POINT
6094106078,nodes,,,,,,,,Ottawa Vein Centre,,,,,,,clinic,-75.6920745,45.4139094,POINT
5836744314,nodes,,,,,,,,HealthMed,,,,,,,pharmacy,-75.7080098,45.4103544,POINT
6414931389,nodes,,,,,,,,University of Ottawa Health Services Family Health Team,,,,,,,clinic,-75.6802963,45.42175,POINT
6414931415,nodes,,,,,,,,ODent,,,,,,,dentist,-75.6804559,45.4216653,POINT
6040709214,nodes,,,,,,,,The Kingsway Health Centre,,,,,,,doctors,-75.6850619,45.224632,POINT
6040709213,nodes,,,,,,,,Chiromax of Manotick,,,,,,,clinic,-75.685133,45.2246731,POINT
5830786022,nodes,,,,,,,,The Bowen Approach Pain Clinic,,,,,,,clinic,-75.6477772,45.0164937,POINT
5727128314,nodes,,,,,,,,Rideau Crossing FHC,,,,,,,doctors,-75.6757137,45.0427595,POINT
6758507412,nodes,,,,,,,,California Medical Clinic,,,,,,,doctors,-75.6919495,44.6119728,POINT
6759519121,nodes,,,,,,,,Dr. D. Brooks & Dr. S. Riyaz,,,,,,,doctors,-75.7064506,44.5978077,POINT
6759583530,nodes,,,,,,,,Dr. Dong Li,,,,,,,dentist,-75.6895,44.6014272,POINT
6759583521,nodes,,,,,,,,Parkedale Pharmacy,,,,,,,pharmacy,-75.6929481,44.6074262,POINT
6759583520,nodes,,,,,,,,Leeds & Grenville Family Health Team,,,,,,,doctors,-75.693124,44.6073937,POINT
5809685945,nodes,,,,,,,,Kemptville Denture Clinic,,,,,,,dentist,-75.6373152,45.0156423,POINT
354760260,nodes,,,,,,,,North Country Medical,,,,,,,doctors,-75.0636889,44.6424811,POINT
5891377792,nodes,,,,,,,,Stittsville Integrative Medicine Centre,,,,,,,clinic,-75.9198846,45.257231,POINT
5891377794,nodes,,,,,,,,Stittsville Wellness,,,,,,,doctors,-75.9202832,45.2576971,POINT
6501419986,nodes,,,,,,,,Jockvale Clinic,,,,,,,doctors,-75.777643,45.275716,POINT
4344327773,nodes,,,,,,,,dentistry @ Prescott,,,,,,,dentist,-75.520273,44.7054301,POINT
5755216152,nodes,,,,,,,,Jian Z Physio,,,,,,,clinic,-75.7335234,45.2687971,POINT
5691211918,nodes,,,,,,,,Longfields Pharmacy,,,,,,,pharmacy,-75.7449415,45.2842287,POINT
5691211915,nodes,,,,,,,,Active Health Institute,,,,,,,doctors,-75.7451206,45.2840027,POINT
5691211914,nodes,,,,,,,,Longfields Dental,,,,,,,dentist,-75.7451595,45.2839287,POINT
5691211916,nodes,,,,,,,,Precision Medical Centre,,,,,,,doctors,-75.7450629,45.284066,POINT
6036866487,nodes,,,,,,,,Stittsville Medical Centre,,,,,,,doctors,-75.9272137,45.2644571,POINT
6036866505,nodes,,,,,,,,Warmstone Family Dentistry,,,,,,,dentist,-75.930372,45.2660589,POINT
6128608035,nodes,,,,,,,,Haven Pychological Association,,,,,,,doctors,-75.9160041,45.2775463,POINT
6128608030,nodes,,,,,,,,Kanata Counselling Services,,,,,,,doctors,-75.9158841,45.2774005,POINT
